cell,expt,isi,n_pulses,pulse_width,rep,spikes,type
19,pinp,NaN,NaN,20,15,655.733333334865,pulse
19,pinp,NaN,NaN,20,15,1768.70000000145,pulse
19,pinp,NaN,NaN,20,16,-449.966666666114,pulse
19,pinp,NaN,NaN,20,16,-360.833333332721,pulse
19,pinp,NaN,NaN,20,16,12.7000000006774,pulse
19,pinp,NaN,NaN,20,16,279.866666667203,pulse
19,pinp,NaN,NaN,20,16,1238.23333333394,pulse
19,pinp,NaN,NaN,20,16,1616.63333333399,pulse
19,pinp,NaN,NaN,20,17,897.800000001098,pulse
19,pinp,NaN,NaN,20,18,-342.533333331176,pulse
19,pinp,NaN,NaN,20,18,7.43333333548435,pulse
19,pinp,NaN,NaN,20,18,868.533333335563,pulse
19,pinp,NaN,NaN,20,18,882.666666668683,pulse
19,pinp,NaN,NaN,20,19,-212.799999999788,pulse
19,pinp,NaN,NaN,20,19,-50.3666666663776,pulse
19,pinp,NaN,NaN,20,19,1422.16666666673,pulse
19,pinp,NaN,NaN,20,20,-263.899999998557,pulse
19,pinp,NaN,NaN,20,20,543.733333334785,pulse
19,pinp,NaN,NaN,20,20,828.13333333479,pulse
19,pinp,NaN,NaN,20,20,1115.9666666681,pulse
19,pinp,NaN,NaN,20,21,-398.30000000029,pulse
19,pinp,NaN,NaN,20,21,733.299999999417,pulse
19,pinp,NaN,NaN,20,22,494.8333333341,pulse
19,pinp,NaN,NaN,20,22,615.966666667646,pulse
19,pinp,NaN,NaN,20,22,1430.5333333341,pulse
19,pinp,NaN,NaN,20,23,-55.2666666667392,pulse
19,pinp,NaN,NaN,20,23,192.999999999756,pulse
19,pinp,NaN,NaN,20,23,492.466666666587,pulse
19,pinp,NaN,NaN,20,23,634.933333333265,pulse
19,pinp,NaN,NaN,20,23,775.966666666591,pulse
19,pinp,NaN,NaN,20,23,1443.13333333321,pulse
19,pinp,NaN,NaN,20,23,1593.43333333345,pulse
19,pinp,NaN,NaN,20,23,1733.99999999992,pulse
19,pinp,NaN,NaN,20,24,-463.29999999989,pulse
19,pinp,NaN,NaN,20,24,988.466666666682,pulse
19,pinp,NaN,NaN,20,24,1300.23333333338,pulse
19,pinp,NaN,NaN,20,24,1476.73333333341,pulse
19,pinp,NaN,NaN,20,25,-196.10000000057,pulse
19,pinp,NaN,NaN,20,25,-6.73333333406845,pulse
19,pinp,NaN,NaN,20,25,462.466666665932,pulse
19,pinp,NaN,NaN,20,25,611.766666665972,pulse
19,pinp,NaN,NaN,20,26,18.166666666275,pulse
19,pinp,NaN,NaN,20,26,217.633333332742,pulse
19,pinp,NaN,NaN,20,26,1242.36666666593,pulse
19,pinp,NaN,NaN,20,26,1271.96666666623,pulse
19,pinp,NaN,NaN,20,26,1277.53333333294,pulse
19,pinp,NaN,NaN,20,27,434.333333331779,pulse
19,pinp,NaN,NaN,20,27,976.966666665248,pulse
19,pinp,NaN,NaN,20,28,-384.633333336751,pulse
19,pinp,NaN,NaN,20,28,-251.733333336688,pulse
19,pinp,NaN,NaN,20,28,1295.03333332968,pulse
19,pinp,NaN,NaN,20,28,1524.33333332965,pulse
19,pinp,NaN,NaN,20,28,1653.39999999651,pulse
19,pinp,NaN,NaN,20,29,-575.966666669956,pulse
19,pinp,NaN,NaN,20,29,1231.53333332993,pulse
19,pinp,NaN,NaN,20,30,576.533333331554,pulse
19,pinp,NaN,NaN,20,31,-255.133333334925,pulse
19,pinp,NaN,NaN,20,31,281.19999999808,pulse
19,pinp,NaN,NaN,20,31,688.933333331534,pulse
19,pinp,NaN,NaN,20,31,916.733333331649,pulse
19,pinp,NaN,NaN,20,32,-232.433333337212,pulse
19,pinp,NaN,NaN,20,32,-198.600000003808,pulse
19,pinp,NaN,NaN,20,32,-194.86666667035,pulse
19,pinp,NaN,NaN,20,32,969.933333329664,pulse
19,pinp,NaN,NaN,20,33,4.60000000384753,pulse
19,pinp,NaN,NaN,20,33,120.70000000358,pulse
19,pinp,NaN,NaN,20,33,332.466666670371,pulse
19,pinp,NaN,NaN,20,33,579.166666670517,pulse
19,pinp,NaN,NaN,20,33,619.56666667038,pulse
19,pinp,NaN,NaN,20,34,788.933333335081,pulse
19,pinp,NaN,NaN,20,34,1149.23333333491,pulse
19,pinp,NaN,NaN,20,35,-221.199999995861,pulse
19,pinp,NaN,NaN,20,35,491.066666671031,pulse
19,pinp,NaN,NaN,20,35,711.000000004333,pulse
19,pinp,NaN,NaN,20,35,806.466666670985,pulse
19,pinp,NaN,NaN,20,35,831.866666670976,pulse
19,pinp,NaN,NaN,20,35,1716.66666667079,pulse
19,pinp,NaN,NaN,20,36,-491.299999997864,pulse
19,pinp,NaN,NaN,20,36,418.13333333539,pulse
19,pinp,NaN,NaN,20,36,1093.76666666867,pulse
19,pinp,NaN,NaN,20,36,1112.70000000195,pulse
19,pinp,NaN,NaN,20,36,1113.66666666891,pulse
19,pinp,NaN,NaN,20,36,1126.96666666898,pulse
19,pinp,NaN,NaN,20,36,1533.80000000197,pulse
19,pinp,NaN,NaN,20,36,1673.1333333355,pulse
19,pinp,NaN,NaN,20,37,-556.233333330965,pulse
19,pinp,NaN,NaN,20,37,160.13333333558,pulse
